,week,dept,sales,IsHoliday,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Temperature,Fuel_Price,CPI,Unemployment,Next week
290605,2011-08-26,14,592.56,0,0.0,0.0,0.0,0.0,0.0,92.07,3.523,215.38689700000003,7.852,
290661,2011-02-09,14,605.66,0,0.0,0.0,0.0,0.0,0.0,91.94,3.533,215.4508632,7.852,
290713,2011-09-09,14,838.31,1,0.0,0.0,0.0,0.0,0.0,78.87,3.5460000000000003,215.5148295,7.852,
290756,2011-09-16,14,494.05,0,0.0,0.0,0.0,0.0,0.0,80.62,3.5260000000000002,215.6944378,7.852,
290832,2011-09-23,14,465.23,0,0.0,0.0,0.0,0.0,0.0,75.68,3.467,216.02823560000002,7.852,
290867,2011-09-30,14,473.86,0,0.0,0.0,0.0,0.0,0.0,78.91,3.355,216.3620333,7.852,
290905,2011-07-10,14,541.75,0,0.0,0.0,0.0,0.0,0.0,71.64,3.285,216.69583109999996,7.441,
290952,2011-10-14,14,781.08,0,0.0,0.0,0.0,0.0,0.0,69.79,3.2739999999999996,217.0048261,7.441,
291004,2011-10-21,14,634.62,0,0.0,0.0,0.0,0.0,0.0,65.16,3.353,217.1650042,7.441,
291043,2011-10-28,14,846.75,0,0.0,0.0,0.0,0.0,0.0,65.46,3.372,217.3251824,7.441,
291096,2011-04-11,14,692.43,0,0.0,0.0,0.0,0.0,0.0,56.01,3.332,217.48536049999998,7.441,
291164,2011-11-11,14,901.76,0,42.28,276.94,14.54,0.0,3508.88,59.8,3.2969999999999997,217.6455387,7.441,
291220,2011-11-18,14,1392.58,0,679.88,97.38,0.0,38.35,1143.98,61.9,3.3080000000000003,217.86702180000003,7.441,
291269,2011-11-25,14,3869.19,1,19.97,0.0,0.0,0.0,477.74,56.43,3.236,218.1130269,7.441,
291328,2011-02-12,14,745.13,0,23.47,0.0,4.7,0.0,1257.19,48.72,3.1719999999999997,218.35903190000002,7.441,
291365,2011-09-12,14,1102.7,0,1.5,0.0,3.41,0.0,1774.78,41.44,3.158,218.605037,7.441,
291418,2011-12-16,14,1489.58,0,0.0,0.0,11.1,0.0,602.44,50.56,3.159,218.82179280000003,7.441,
291471,2011-12-23,14,1978.19,0,245.83,0.0,12.5,2.52,2951.23,46.54,3.112,218.9995495,7.441,
291509,2011-12-30,14,1200.4,1,782.67,2027.77,0.0,35.28,239.99,45.16,3.1289999999999996,219.1773063,7.441,
291570,2012-06-01,14,871.18,0,594.21,1905.66,91.16,4.92,855.1,48.1,3.157,219.355063,7.057,
291620,2012-01-13,14,1130.48,0,157.23,452.88,51.64,0.0,916.52,45.0,3.261,219.53281980000003,7.057,
291656,2012-01-20,14,957.58,0,1084.35,3.47,36.96,0.0,344.93,52.21,3.2680000000000002,219.6258417,7.057,
291734,2012-01-27,14,743.36,0,246.62,0.0,49.06,42.84,421.39,50.79,3.29,219.7188636,7.057,
291766,2012-03-02,14,678.4,0,843.22,2.82,64.81,192.66,2393.21,55.83,3.36,219.81188540000002,7.057,
291830,2012-10-02,14,800.0,1,2098.64,4.0,52.55,0.0,1923.82,46.52,3.409,219.90490730000002,7.057,
291861,2012-02-17,14,807.61,0,95.88,745.13,11.88,0.0,2043.43,45.03,3.51,220.06519930000002,7.057,
291915,2012-02-24,14,833.12,0,1192.83,557.62,0.0,13.5,1342.2,54.81,3.555,220.27594399999998,7.057,
291970,2012-02-03,14,876.3,0,1080.76,0.02,1.39,63.5,1031.3,59.3,3.63,220.4866886,7.057,
292027,2012-09-03,14,862.24,0,639.83,0.0,0.49,144.18,3286.61,57.16,3.6689999999999996,220.6974332,7.057,
292089,2012-03-16,14,672.08,0,301.14,0.0,0.0,0.0,2536.55,63.39,3.734,220.84984680000002,7.057,
292119,2012-03-23,14,665.46,0,349.9,0.5,0.34,0.0,2099.05,62.96,3.787,220.9244858,7.057,
292171,2012-03-30,14,908.63,0,380.37,0.5,0.0,0.0,1080.75,67.87,3.845,220.9991248,7.057,
292229,2012-06-04,14,1094.85,0,21.39,0.0,4.09,0.0,2364.16,69.02,3.891,221.07376380000002,6.891,
292273,2012-04-13,14,1314.87,0,48.96,856.15,12.0,0.0,699.85,69.03,3.891,221.14840279999999,6.891,
292324,2012-04-20,14,770.03,0,72.85,692.6,0.7,0.0,369.74,66.97,3.877,221.2021074,6.891,
292377,2012-04-27,14,780.13,0,60.07,0.0,3.21,0.0,1112.14,69.21,3.8139999999999996,221.25581200000002,6.891,
292425,2012-04-05,14,785.35,0,1136.36,0.0,19.09,14.33,2003.64,77.53,3.7489999999999997,221.30951659999997,6.891,
292473,2012-11-05,14,1070.77,0,701.89,0.0,2.28,0.0,1487.23,74.14,3.688,221.36322119999997,6.891,
292527,2012-05-18,14,811.71,0,57.13,0.0,0.0,0.0,857.91,72.42,3.63,221.380331,6.891,
292574,2012-05-25,14,986.48,0,175.64,0.0,0.0,0.0,2534.54,79.49,3.5610000000000004,221.3828029,6.891,
292625,2012-01-06,14,1093.89,0,553.39,0.0,0.0,0.0,7048.24,79.24,3.5010000000000003,221.38527480000002,6.891,
292675,2012-08-06,14,733.15,0,359.6,0.0,3.75,0.0,3721.71,79.47,3.452,221.38774669999998,6.891,
292732,2012-06-15,14,739.15,0,370.16,0.0,3.01,10.16,1042.83,81.51,3.3930000000000002,221.4009901,6.891,
292801,2012-06-22,14,825.38,0,292.53,0.0,0.0,0.0,3749.16,81.78,3.346,221.4411622,6.891,
292830,2012-06-29,14,782.75,0,57.9,0.0,0.0,0.0,1773.54,88.05,3.286,221.48133430000004,6.891,
292865,2012-06-07,14,1169.6,0,799.32,0.0,2.35,2.96,2510.56,85.26,3.227,221.52150640000002,6.565,
292940,2012-07-13,14,819.75,0,200.86,0.0,4.08,0.0,7547.27,82.51,3.2560000000000002,221.5616784,6.565,
292972,2012-07-20,14,768.88,0,164.49,0.0,2.82,0.0,2012.83,84.25,3.3110000000000004,221.5701123,6.565,
293029,2012-07-27,14,746.22,0,92.13,0.0,0.24,0.0,3727.76,88.09,3.407,221.5785461,6.565,
293070,2012-03-08,14,807.43,0,283.01,0.0,2.46,1.88,2833.5,91.57,3.417,221.58697990000002,6.565,
293120,2012-10-08,14,905.02,0,971.97,0.0,1.03,52.96,2168.04,89.57,3.4939999999999998,221.59541380000002,6.565,
293164,2012-08-17,14,804.84,0,168.82,0.0,2.13,0.0,1321.3,85.55,3.571,221.67514590000002,6.565,
293222,2012-08-24,14,868.57,0,338.75,0.0,6.52,10.05,1731.98,77.72,3.62,221.80835180000003,6.565,
293261,2012-08-31,14,855.75,0,394.74,0.0,4.9,134.07,1892.82,83.58,3.638,221.94155759999998,6.565,
293323,2012-07-09,14,1007.93,1,223.74,0.0,124.14,33.14,1987.38,88.4,3.73,222.0747635,6.565,
293375,2012-09-14,14,770.31,0,1085.92,0.0,29.23,0.0,2115.61,76.1,3.717,222.2174395,6.565,
293437,2012-09-21,14,855.22,0,1046.34,0.0,0.0,69.2,1258.49,71.54,3.721,222.41693619999998,6.565,
293502,2012-09-28,14,668.17,0,212.08,0.0,0.0,0.0,1525.32,80.38,3.6660000000000004,222.61643289999998,6.565,
293524,2012-05-10,14,789.99,0,0.0,0.0,3.02,0.0,755.8,70.28,3.617,222.8159296,6.17,
293596,2012-12-10,14,876.21,0,15.88,0.0,5.2,0.0,3374.4,61.53,3.6010000000000004,223.01542630000003,6.17,
293641,2012-10-19,14,750.07,0,37.11,0.0,0.15,0.0,1030.33,68.52,3.594,223.0598077,6.17,
293673,2012-10-26,14,703.87,0,150.46,1.75,0.0,0.0,367.83,70.5,3.5060000000000002,223.0783366,6.17,
